"","p-value"
"0.741",0.15401
"0.742",0.15401
"0.743",0.15294
"0.744",0.15294
"0.745",0.15294
"0.746",0.15294
"0.747",0.15294
"0.748",0.15187
"0.749",0.15187
"0.75",0.15187
"0.751",0.1508
"0.752",0.1508
"0.753",0.14973
"0.754",0.14973
"0.755",0.14866
"0.756",0.14652
"0.757",0.14545
"0.758",0.14545
"0.759",0.14439
"0.76",0.14332
"0.761",0.14225
"0.762",0.14225
"0.763",0.14118
"0.764",0.14118
"0.765",0.14118
"0.766",0.14118
"0.767",0.14118
"0.768",0.14011
"0.769",0.13904
"0.77",0.13904
"0.771",0.13797
"0.772",0.13583
"0.773",0.13476
"0.774",0.13476
"0.775",0.13262
"0.776",0.13262
"0.777",0.13048
"0.778",0.12834
"0.779",0.12834
"0.78",0.1262
"0.781",0.12406
"0.782",0.12299
"0.783",0.12299
"0.784",0.12299
"0.785",0.12299
"0.786",0.12299
"0.787",0.12299
"0.788",0.11979
"0.789",0.11658
"0.79",0.11658
"0.791",0.11444
"0.792",0.11337
"0.793",0.11337
"0.794",0.11337
"0.795",0.11123
"0.796",0.11123
"0.797",0.11123
"0.798",0.11123
"0.799",0.11123
"0.8",0.11016
"0.801",0.10802
"0.802",0.10695
"0.803",0.10588
"0.804",0.10588
"0.805",0.10374
"0.806",0.10374
"0.807",0.10267
"0.808",0.10267
"0.809",0.10053
"0.81",0.09947
"0.811",0.0984
"0.812",0.0984
"0.813",0.09733
"0.814",0.09733
"0.815",0.09626
"0.816",0.09626
"0.817",0.09519
"0.818",0.09519
"0.819",0.09305
"0.82",0.09091
"0.821",0.09091
"0.822",0.08984
"0.823",0.08984
"0.824",0.08877
"0.825",0.0877
"0.826",0.0877
"0.827",0.0877
"0.828",0.08556
"0.829",0.08449
"0.83",0.08235
"0.831",0.08021
"0.832",0.08021
"0.833",0.08021
"0.834",0.08021
"0.835",0.07914
"0.836",0.07807
"0.837",0.07594
"0.838",0.07594
"0.839",0.07487
"0.84",0.07487
"0.841",0.07273
"0.842",0.07166
"0.843",0.06845
"0.844",0.06738
"0.845",0.06738
"0.846",0.06631
"0.847",0.06524
"0.848",0.06524
"0.849",0.06524
"0.85",0.06417
"0.851",0.06417
"0.852",0.06417
"0.853",0.06417
"0.854",0.06417
"0.855",0.0631
"0.856",0.06203
"0.857",0.05989
"0.858",0.05882
"0.859",0.05882
"0.86",0.05882
"0.861",0.05882
"0.862",0.05455
"0.863",0.05455
"0.864",0.05455
"0.865",0.05455
"0.866",0.05348
"0.867",0.05134
"0.868",0.05134
"0.869",0.0492
"0.87",0.0492
"0.871",0.0492
"0.872",0.0492
"0.873",0.04813
"0.874",0.04706
"0.875",0.04706
"0.876",0.04706
"0.877",0.04706
"0.878",0.04706
"0.879",0.04706
"0.88",0.04599
"0.881",0.04599
"0.882",0.04492
"0.883",0.04492
"0.884",0.04385
"0.885",0.04385
"0.886",0.04385
"0.887",0.04278
"0.888",0.04278
"0.889",0.04278
"0.89",0.04278
"0.891",0.04278
"0.892",0.03957
"0.893",0.0385
"0.894",0.0385
"0.895",0.03743
"0.896",0.03743
"0.897",0.03743
"0.898",0.03743
"0.899",0.03636
"0.9",0.03529
"0.901",0.03529
"0.902",0.03422
"0.903",0.03209
