"","p-value"
"0.836",0.02146
"0.837",0.02125
"0.838",0.02095
"0.839",0.02054
"0.84",0.02014
"0.841",0.02004
"0.842",0.02004
"0.843",0.01994
"0.844",0.01994
"0.845",0.01984
"0.846",0.01953
"0.847",0.01913
"0.848",0.01893
"0.849",0.01852
"0.85",0.01832
"0.851",0.01801
"0.852",0.01791
"0.853",0.01791
"0.854",0.01761
"0.855",0.01731
"0.856",0.0172
"0.857",0.0169
"0.858",0.0168
"0.859",0.0168
"0.86",0.0164
"0.861",0.0164
"0.862",0.01609
"0.863",0.01599
"0.864",0.01579
"0.865",0.01559
"0.866",0.01538
"0.867",0.01528
"0.868",0.01488
"0.869",0.01488
"0.87",0.01467
"0.871",0.01447
"0.872",0.01437
"0.873",0.01437
"0.874",0.01427
"0.875",0.01386
"0.876",0.01386
"0.877",0.01366
"0.878",0.01356
"0.879",0.01346
"0.88",0.01326
"0.881",0.01295
"0.882",0.01265
"0.883",0.01255
"0.884",0.01255
"0.885",0.01255
"0.886",0.01235
"0.887",0.01214
"0.888",0.01204
"0.889",0.01194
"0.89",0.01184
"0.891",0.01174
"0.892",0.01164
"0.893",0.01144
"0.894",0.01113
"0.895",0.01113
"0.896",0.01113
"0.897",0.01093
"0.898",0.01053
"0.899",0.01042
"0.9",0.01022
"0.901",0.01022
"0.902",0.01002
"0.903",0.00982
"0.904",0.00961
"0.905",0.00961
"0.906",0.00941
"0.907",0.00931
"0.908",0.00911
"0.909",0.00891
"0.91",0.00891
"0.911",0.0086
"0.912",0.0084
"0.913",0.0082
"0.914",0.0082
"0.915",0.0082
"0.916",0.0082
"0.917",0.0081
"0.918",0.008
"0.919",0.008
"0.92",0.00789
"0.921",0.00779
"0.922",0.00739
"0.923",0.00719
"0.924",0.00678
"0.925",0.00668
"0.926",0.00668
"0.927",0.00648
"0.928",0.00617
"0.929",0.00607
"0.93",0.00607
"0.931",0.00577
"0.932",0.00557
"0.933",0.00547
"0.934",0.00547
"0.935",0.00547
"0.936",0.00547
"0.937",0.00536
"0.938",0.00536
"0.939",0.00526
"0.94",0.00516
"0.941",0.00506
"0.942",0.00486
"0.943",0.00486
"0.944",0.00455
"0.945",0.00445
"0.946",0.00445
"0.947",0.00435
"0.948",0.00415
"0.949",0.00395
"0.95",0.00385
"0.951",0.00374
"0.952",0.00354
"0.953",0.00354
"0.954",0.00354
"0.955",0.00344
"0.956",0.00344
"0.957",0.00324
"0.958",0.00324
"0.959",0.00324
"0.96",0.00314
"0.961",0.00314
"0.962",0.00304
"0.963",0.00293
"0.964",0.00283
"0.965",0.00283
"0.966",0.00283
"0.967",0.00283
"0.968",0.00283
"0.969",0.00273
"0.97",0.00253
"0.971",0.00253
"0.972",0.00253
"0.973",0.00253
"0.974",0.00253
"0.975",0.00253
"0.976",0.00223
"0.977",0.00223
"0.978",0.00213
"0.979",0.00182
"0.98",0.00172
"0.981",0.00162
"0.982",0.00162
"0.983",0.00152
"0.984",0.00121
"0.985",0.00121
"0.986",0.00101
"0.987",0.00091
"0.988",0.00081
"0.989",0.00081
"0.99",0.00071
"0.991",0.00071
"0.992",0.00061
"0.993",0.00051
"0.994",0.00051
"0.995",0.00051
"0.996",0.00051
"0.997",0.00051
"0.998",0.00030
"0.999",0.00020
"1",0
