"","p-value"
"0.905",0.02399
"0.906",0.02316
"0.907",0.02295
"0.908",0.02243
"0.909",0.02201
"0.91",0.0217
"0.911",0.02118
"0.912",0.02098
"0.913",0.02056
"0.914",0.02004
"0.915",0.01994
"0.916",0.01942
"0.917",0.01921
"0.918",0.01838
"0.919",0.01776
"0.92",0.01765
"0.921",0.01745
"0.922",0.01703
"0.923",0.01672
"0.924",0.0163
"0.925",0.01599
"0.926",0.01568
"0.927",0.01537
"0.928",0.01516
"0.929",0.01464
"0.93",0.01443
"0.931",0.01433
"0.932",0.01402
"0.933",0.01391
"0.934",0.01319
"0.935",0.01298
"0.936",0.01267
"0.937",0.01267
"0.938",0.01236
"0.939",0.01215
"0.94",0.01163
"0.941",0.01121
"0.942",0.01101
"0.943",0.0109
"0.944",0.01049
"0.945",0.01038
"0.946",0.01018
"0.947",0.00987
"0.948",0.00976
"0.949",0.00945
"0.95",0.00935
"0.951",0.00903
"0.952",0.00893
"0.953",0.00862
"0.954",0.00831
"0.955",0.00758
"0.956",0.00748
"0.957",0.00737
"0.958",0.00717
"0.959",0.00685
"0.96",0.00665
"0.961",0.00654
"0.962",0.00602
"0.963",0.00571
"0.964",0.0055
"0.965",0.0054
"0.966",0.00509
"0.967",0.00498
"0.968",0.00467
"0.969",0.00436
"0.97",0.00415
"0.971",0.00405
"0.972",0.00384
"0.973",0.00363
"0.974",0.00332
"0.975",0.00332
"0.976",0.00301
"0.977",0.0027
"0.978",0.0026
"0.979",0.0026
"0.98",0.0026
"0.981",0.0026
"0.982",0.00249
"0.983",0.00228
"0.984",0.00208
"0.985",0.00197
"0.986",0.00187
"0.987",0.00177
"0.988",0.00145
"0.989",0.00114
"0.99",0.00093
"0.991",0.00083
"0.992",0.00083
"0.993",0.00083
"0.994",0.00073
"0.995",0.00052
"0.996",0.00042
"0.997",0.00042
"0.998",0.00031
"0.999",0.00021
"1",0
